Tiempo_s,Estado,Confianza_Fase1,PWM_Aplicado,Prediccion_CNN_Suave,Esfuerzo_V,Color_H,Color_S,Movimiento,Tiempo_Rest_LSTM,Esfuerzo_Limpio
0.02,1,0,100,0.0,0.0,39.03,52.63,0.0,0,0.0
0.1,1,0,100,0.0,0.0,39.03,52.63,0.0,0,0.0
0.21,1,0,100,0.0,0.0,37.53,53.02,0.24,0,0.0
0.31,1,0,100,0.0,0.0,36.87,52.94,0.24,0,0.0
0.41,1,0,100,0.0,0.084,38.76,53.1,1.31,0,0.0168
0.52,1,0,100,0.0,0.084,38.9,53.23,1.09,0,0.028
0.62,1,0,100,0.0,0.084,39.26,53.2,3.63,0,0.036
0.73,1,0,100,0.0,0.084,38.55,53.71,3.47,0,0.042
0.83,1,0,100,0.0,0.084,37.4,53.79,2.21,0,0.0467
0.93,1,0,100,0.0,0.084,40.06,51.94,4.3,0,0.0504
1.04,1,0,100,0.0,0.084,39.2,51.24,3.55,0,0.0535
1.14,1,0,100,0.0,0.084,37.93,51.81,3.64,0,0.0611
1.24,1,0,100,0.0,0.084,37.94,52.58,3.88,0,0.0687
1.34,1,0,100,0.0,0.09,35.86,54.65,3.88,0,0.0769
1.45,1,0,100,0.0,0.09,36.51,56.03,3.87,0,0.0851
1.55,1,0,100,0.0,0.09,36.12,56.56,3.13,0,0.0856
1.65,1,0,100,0.0,0.09,34.36,56.66,3.12,0,0.0862
1.75,1,0,100,0.0,0.09,34.27,56.9,2.64,0,0.0867
1.85,1,0,100,0.0,0.095,33.54,57.71,2.71,0,0.0877
1.96,1,0,100,0.0,0.095,32.3,58.41,2.76,0,0.0887
2.06,1,0,100,0.0,0.095,32.39,58.08,2.06,0,0.0897
2.16,1,0,100,0.0,0.095,33.87,56.8,3.45,0,0.0907
2.26,1,0,100,0.0,0.095,35.45,55.05,2.03,0,0.0917
2.37,1,0,100,0.0,0.086,35.59,54.16,2.6,0,0.0919
2.47,1,0,100,0.0,0.086,35.79,54.31,2.82,0,0.0915
2.57,1,0,100,0.0,0.086,35.98,54.54,1.75,0,0.0912
2.67,1,0,100,0.0,0.086,35.73,54.5,2.83,0,0.0908
2.78,1,0,100,0.0,0.086,35.81,54.31,2.25,0,0.0905
2.88,1,0,100,0.0,0.08,35.04,54.94,1.76,0,0.0895
2.98,1,0,100,0.0,0.08,36.86,53.9,3.06,0,0.0882
3.09,1,0,100,0.0,0.08,35.55,54.03,2.12,0,0.0868
3.19,1,0,100,0.0,0.08,35.76,54.18,1.54,0,0.0855
3.29,1,0,100,0.0,0.08,36.6,53.91,2.56,0,0.0841
3.4,1,0,100,0.0,0.08,37.31,53.78,2.14,0,0.0827
3.5,1,0,100,0.0,0.08,37.49,54.23,2.23,0,0.0822
3.6,1,0,100,0.0,0.08,35.93,54.49,1.66,0,0.0816
3.7,1,0,100,0.0,0.08,36.6,54.76,2.25,0,0.0811
3.81,1,0,100,0.0,0.08,36.81,54.75,2.35,0,0.0805
3.91,1,0,100,0.0,0.085,36.14,55.28,2.23,0,0.0805
